-0.075 0
-0.0749996 0
-0.0749993 2e-08
-0.0749989 2e-08
-0.0749985 2e-08
-0.0749981 2e-08
-0.0749978 2e-08
-0.0749974 0
-0.074997 0
-0.0749967 0
-0.0749963 0
-0.0749959 2e-08
-0.0749956 2e-08
-0.0749952 2e-08
-0.0749948 2e-08
-0.0749944 2e-08
-0.0749941 0
-0.0749937 0
-0.0749933 0
-0.074993 0
-0.0749926 0
-0.0749922 2e-08
-0.0749919 2e-08
-0.0749915 2e-08
-0.0749911 2e-08
-0.0749907 2e-08
-0.0749904 0
-0.07499 0
-0.0749896 0
-0.0749893 0
-0.0749889 0
-0.0749885 2e-08
-0.0749881 2e-08
-0.0749878 2e-08
-0.0749874 2e-08
-0.074987 0
-0.0749867 0
-0.0749863 0
-0.0749859 0
-0.0749856 0
-0.0749852 2e-08
-0.0749848 2e-08
-0.0749844 2e-08
-0.0749841 2e-08
-0.0749837 2e-08
-0.0749833 0
-0.074983 0
-0.0749826 0
-0.0749822 0
-0.0749819 0
-0.0749815 2e-08
-0.0749811 2e-08
-0.0749807 2e-08
-0.0749804 2e-08
-0.07498 2e-08
